四川联通,#genre#
CCTV1,http://hlsliveali-cdn.ysp.cctv.cn/09AA010F2A2C7A9C1C5ACA6F676BDB1CF956B7E8386860D1D7541ECE02AB5675106E86B0E98815FFEFAEB500B0771F6789B2BD8F58C3DFD56BE2888BF5E9A928080021DC58396A9A696E18CA22569062C2FBB7601B4438E352B80C8FF97C5DB5C6CA51715D277C3631A51ABF8F9AADDDA2D8AD6DB3601C7B273EB4B08DD18D17096F585EB4E06083C6AB7349A0022F3BCD29960B88B228D8C6B06C6AC42AE377/2024078203.m3u8?from=player&svrtime=1739624567&pid=600001859&cdn=5506&revoi=BF9056EEA4ECAD2E2EDAEA068A3AD6A80D7F169F33F4FEE3E37FCBF9B76294BA&cost=low&cdn_strategy=0
CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV2,http://sc.rrs.169ol.com/PLTV/88888888/224/3221227477/index.m3u8
CCTV4,http://sc.rrs.169ol.com/PLTV/88888888/224/3221227373/index.m3u8
CCTV5,http://hlsliveali-cdn.ysp.cctv.cn/BC96DE71CDB5D8D6A1BA9A36684F3AD89F6F237916A0CFE6707F3600C1EFA277FB49472E638B61C40F8991323C030DA99124D976A2192EAB01CAF9D84E74125F18668C8C3CC089FDC80AD73B76D59402721EE3937D481B2A2BC97FCA5AD5E4EE64FAF1D92E89BDDA4EE0B07992E27F7259FBD85FBD17A2C49E3FF57323CCB6FD1E97244B0F911AAD559A8B29844B2F19CB70213793E9BDA9B7339A760710CDE9/2024078403.m3u8?from=player&svrtime=1739624790&pid=600001818&cdn=5506&revoi=5C7F4788F3E3CCA4A0212DD9002DBC62D3218EBE359FE0F960219AAF62503944&cost=low&cdn_strategy=0
CCTV5+,http://hlsliveali-cdn.ysp.cctv.cn/351C3CB2C1E97C746879FFE6C7AA340C951E2ED65284C4AC9BF87631443506322B4DB6F3E1C0C25716FCBB8A33DA984F2563AD8D7C5C438E9C85BE663B4BCF3CC7D0D4B6DAEFBFA2535E066EB1B2840E5FC6840CD2279308AB86F777B3D0056C01881B93B229FE39F3632947DEBF853EE4B40F079BE24A0FE6A7AC51AAC6DAB4F3060374F5497A0608CF359D70F239B62E99BC18EBE738660CF0ECD9D7BE9F30/2024078003.m3u8?from=player&svrtime=1739624884&pid=600001817&cdn=5506&revoi=900FA26249A2224D6CC3054494A139EACAE9C7166B1951DB42114D5AF28176C7&cost=low&cdn_strategy=0
CCTV6,http://mobileliveali-cdn.ysp.cctv.cn/ysp/C99B52D102EC633AFE1F5CED84BFA9119DD8DF3B97CAB553598C54B6175B587BA6B86F37A7A2544C2DA17CCE2572FAA7BC19D102AD7F0F7201A39D2A7D9AAD7B66141E62F7B1E07DF91C78F4E0EE3F95C0CB2AC201C76B1C1BF42811CD2EC964DC7E5EB7AE654ED09B236CFC3EB3E6433998C608D4DE40550E2EB2D42A84EBA271E63D9CE05A5CACF42CA9B86425BF414DD00D0AD0DADC7D0998B0B5F0038D68/2013693901_hd.m3u8?svrtime=1739624205&pid=600108442&m3u8_with_time_tag=2&cdn=5205&revoi=0C3B7F54FD625FB6FDD5B8110B0303FFC455B0CEFE7DDDE77DDCAF4A97A80102&cost=low&cdn_strategy=0
CCTV6,http://home.dzlove.top:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV7,http://hlsliveali-cdn.ysp.cctv.cn/F2E91EC334DFC930BD7DA3122F073BF02CE64D41BFB0CF3753813BC919100F879E3E3C40561549AB34E69E2FB08CC2AF168265C65F94F14C2485965529F28691D973A07654B996CEB2DC5268DCEFBA9BA66A0D5F1F7F18C4A66ADD6D044B510B02C257B2832FDFA80D1529D081BCDF04FE309A7440F11CC208ED4CEE6848F8FB04016B86D19B61E4618B2F9FEE413190E4684ECBAC35CF5FE1594D711EB951C3/2024072002.m3u8?from=player&svrtime=1739625194&pid=600004092&cdn=5506&revoi=E78F5FA5D265D87373D41A00D1633DFC7A9181F5580E678400C5EE6838CD098E&cost=low&cdn_strategy=0
CCTV8,http://hlsliveali-cdn.ysp.cctv.cn/A14B17E85E62BFFD104A0B7F6703F8B87EA07B1CD61FF1FACE10B3ECD543F38EAFFFD3935A381B9FCBA1F3C27C85DC1986041D56D8541160E91251958345FB86A26B758303309F5550F734176882FF5689D0465C30F6D8AF62ADC5F75A974E60F1B5D4D4DCBA00C38038D9155BBAF94B8359FFFD51C9E610382B7C5253C193053C972485ECF4DC828F30A11A4E25D5C8A802E734D43D97A246D80D3ADF96B0A6/2024078502.m3u8?from=player&svrtime=1739624411&pid=600001803&cdn=5506&revoi=83F19EB8E3E02FD82EDF175F1C9AB30567BDC0EA6E50BB604E7C25518886EBD4&cost=low&cdn_strategy=0
